Room,Cluster,Batch,Department,Exam Day,Student Name,Student ID,Faculty
Room 3,2,19,CS,Monday,John Smith,1304,Alice Johnson
Room 3,2,19,CS,Monday,Alice Johnson,1305,Alice Johnson
Room 3,2,19,CS,Monday,John Smith,1331,Alice Johnson
Room 3,2,19,CS,Monday,Alice Johnson,1332,Alice Johnson
Room 3,2,19,CS,Monday,John Smith,1363,Alice Johnson
Room 3,2,19,CS,Monday,Alice Johnson,1364,Alice Johnson
Room 3,2,19,CS,Monday,John Smith,1395,Alice Johnson
Room 3,2,19,CS,Monday,Alice Johnson,1396,Alice Johnson
Room 3,2,19,CS,Monday,John Smith,1427,Alice Johnson
Room 3,2,19,CS,Monday,Alice Johnson,1428,Alice Johnson
Room 3,2,19,CS,Monday,John Smith,1454,Alice Johnson
Room 3,2,19,CS,Monday,Alice Johnson,1455,Alice Johnson
Room 4,2,19,CS,Monday,John Smith,1486,Emma White
Room 4,2,19,CS,Monday,Alice Johnson,1487,Emma White
Room 4,2,19,CS,Monday,John Smith,1518,Emma White
Room 4,2,19,CS,Monday,Alice Johnson,1519,Emma White
Room 4,2,19,CS,Monday,John Smith,1550,Emma White
Room 4,2,19,CS,Monday,Alice Johnson,1551,Emma White
Room 4,2,19,CS,Monday,John Smith,1577,Emma White
Room 4,2,19,CS,Monday,Alice Johnson,1578,Emma White
Room 4,2,19,CS,Monday,John Smith,1609,Emma White
Room 4,2,19,CS,Monday,Alice Johnson,1610,Emma White
Room 4,2,19,CS,Monday,John Smith,1641,Emma White
Room 4,2,19,CS,Monday,Alice Johnson,1642,Emma White
Room 4,2,19,CS,Monday,John Smith,1673,Emma White
Room 4,2,19,CS,Monday,Alice Johnson,1674,Emma White
Room 4,2,19,CS,Monday,John Smith,1700,Emma White
Room 4,2,19,CS,Monday,Alice Johnson,1701,Emma White
Room 4,2,19,CS,Monday,John Smith,1732,Emma White
Room 4,2,19,CS,Monday,Alice Johnson,1733,Emma White
Room 4,2,19,CS,Monday,John Smith,1764,Emma White
Room 4,2,19,CS,Monday,Alice Johnson,1765,Emma White
Room 4,2,19,CS,Monday,John Smith,1796,Emma White
Room 4,2,19,CS,Monday,Alice Johnson,1797,Emma White
Room 4,2,19,CS,Monday,John Smith,1823,Emma White
Room 4,2,19,CS,Monday,Alice Johnson,1824,Emma White
Room 4,2,19,CS,Monday,John Smith,1855,Emma White
Room 4,2,19,CS,Monday,Alice Johnson,1856,Emma White
Room 4,2,19,CS,Monday,John Smith,1887,Emma White
Room 4,2,19,CS,Monday,Alice Johnson,1888,Emma White
Room 4,2,19,CS,Monday,John Smith,1919,Emma White
Room 4,2,19,CS,Monday,Alice Johnson,1920,Emma White
Room 5,2,19,CS,Monday,John Smith,1946,Michael Brown
Room 5,2,19,CS,Monday,Alice Johnson,1947,Michael Brown
Room 5,2,19,CS,Monday,John Smith,1978,Michael Brown
Room 5,2,19,CS,Monday,Alice Johnson,1979,Michael Brown
Room 5,2,19,CS,Monday,John Smith,2010,Michael Brown
Room 5,2,19,CS,Monday,Alice Johnson,2011,Michael Brown
Room 5,2,19,CS,Monday,John Smith,2042,Michael Brown
Room 5,2,19,CS,Monday,Alice Johnson,2043,Michael Brown
Room 5,2,19,CS,Monday,John Smith,2069,Michael Brown
Room 5,2,19,CS,Monday,Alice Johnson,2070,Michael Brown
Room 5,2,19,CS,Monday,John Smith,2101,Michael Brown
Room 5,2,19,CS,Monday,Alice Johnson,2102,Michael Brown
Room 5,2,19,CS,Monday,John Smith,2133,Michael Brown
Room 5,2,19,CS,Monday,Alice Johnson,2134,Michael Brown
Room 5,2,19,CS,Monday,John Smith,2165,Michael Brown
Room 5,2,19,CS,Monday,Alice Johnson,2166,Michael Brown
Room 5,2,19,CS,Monday,John Smith,2192,Michael Brown
Room 5,2,19,CS,Monday,Alice Johnson,2193,Michael Brown
Room 5,2,19,CS,Monday,John Smith,2224,Michael Brown
Room 5,2,19,CS,Monday,Alice Johnson,2225,Michael Brown
Room 5,2,19,CS,Monday,John Smith,2256,Michael Brown
Room 5,2,19,CS,Monday,Alice Johnson,2257,Michael Brown
Room 5,2,19,CS,Monday,John Smith,2288,Michael Brown
Room 5,2,19,CS,Monday,Alice Johnson,2289,Michael Brown
Room 5,2,19,CS,Monday,John Smith,2315,Michael Brown
Room 5,2,19,CS,Monday,Alice Johnson,2316,Michael Brown
Room 5,2,19,CS,Monday,John Smith,2347,Michael Brown
Room 5,2,19,CS,Monday,Alice Johnson,2348,Michael Brown
Room 5,2,19,CS,Monday,John Smith,2379,Michael Brown
Room 5,2,19,CS,Monday,Alice Johnson,2380,Michael Brown
Room 6,2,19,CS,Monday,John Smith,2411,Robert Garcia
Room 6,2,19,CS,Monday,Alice Johnson,2412,Robert Garcia
Room 6,2,19,CS,Monday,John Smith,2438,Robert Garcia
Room 6,2,19,CS,Monday,Alice Johnson,2439,Robert Garcia
Room 6,2,19,CS,Monday,John Smith,2470,Robert Garcia
Room 6,2,19,CS,Monday,Alice Johnson,2471,Robert Garcia
Room 6,2,19,CS,Monday,John Smith,2502,Robert Garcia
Room 6,2,19,CS,Monday,Alice Johnson,2503,Robert Garcia
Room 6,2,19,CS,Monday,John Smith,2534,Robert Garcia
Room 6,2,19,CS,Monday,Alice Johnson,2535,Robert Garcia
Room 6,2,19,CS,Monday,John Smith,2561,Robert Garcia
Room 6,2,19,CS,Monday,Alice Johnson,2562,Robert Garcia
Room 6,2,19,CS,Monday,John Smith,2593,Robert Garcia
Room 6,2,19,CS,Monday,Alice Johnson,2594,Robert Garcia
Room 6,2,19,CS,Monday,John Smith,2625,Robert Garcia
Room 6,2,19,CS,Monday,Alice Johnson,2626,Robert Garcia
Room 6,2,19,CS,Monday,John Smith,2657,Robert Garcia
Room 6,2,19,CS,Monday,Alice Johnson,2658,Robert Garcia
Room 6,2,19,CS,Monday,John Smith,2684,Robert Garcia
Room 6,2,19,CS,Monday,Alice Johnson,2685,Robert Garcia
Room 6,2,19,CS,Monday,John Smith,2716,Robert Garcia
Room 6,2,19,CS,Monday,Alice Johnson,2717,Robert Garcia
Room 6,2,19,CS,Monday,John Smith,2748,Robert Garcia
Room 6,2,19,CS,Monday,Alice Johnson,2749,Robert Garcia
Room 6,2,19,CS,Monday,John Smith,2780,Robert Garcia
Room 6,2,19,CS,Monday,Alice Johnson,2781,Robert Garcia
Room 1,3,20,CS,Monday,Robert Garcia,109,Emma White
Room 1,3,20,CS,Monday,Emma White,110,Emma White
Room 1,3,20,CS,Monday,Robert Garcia,141,Emma White
Room 1,3,20,CS,Monday,Emma White,142,Emma White
Room 1,3,20,CS,Monday,Robert Garcia,173,Emma White
Room 1,3,20,CS,Monday,Emma White,174,Emma White
Room 1,3,20,CS,Monday,Robert Garcia,205,Emma White
Room 1,3,20,CS,Monday,Emma White,206,Emma White
Room 1,3,20,CS,Monday,Robert Garcia,232,Emma White
Room 1,3,20,CS,Monday,Emma White,233,Emma White
Room 1,3,20,CS,Monday,Robert Garcia,264,Emma White
Room 1,3,20,CS,Monday,Emma White,265,Emma White
Room 1,3,20,CS,Monday,Robert Garcia,296,Emma White
Room 1,3,20,CS,Monday,Emma White,297,Emma White
Room 1,3,20,CS,Monday,Robert Garcia,328,Emma White
Room 1,3,20,CS,Monday,Emma White,329,Emma White
Room 1,3,20,CS,Monday,Robert Garcia,355,Emma White
Room 1,3,20,CS,Monday,Emma White,356,Emma White
Room 1,3,20,CS,Monday,Robert Garcia,387,Emma White
Room 1,3,20,CS,Monday,Emma White,388,Emma White
Room 1,3,20,CS,Monday,Robert Garcia,419,Emma White
Room 1,3,20,CS,Monday,Emma White,420,Emma White
Room 1,3,20,CS,Monday,Robert Garcia,451,Emma White
Room 1,3,20,CS,Monday,Emma White,452,Emma White
Room 1,3,20,CS,Monday,Robert Garcia,478,Emma White
Room 1,3,20,CS,Monday,Emma White,479,Emma White
Room 1,3,20,CS,Monday,Robert Garcia,510,Emma White
Room 1,3,20,CS,Monday,Emma White,511,Emma White
Room 1,3,20,CS,Monday,Robert Garcia,542,Emma White
Room 1,3,20,CS,Monday,Emma White,543,Emma White
Room 2,3,20,CS,Monday,Robert Garcia,574,Robert Garcia
Room 2,3,20,CS,Monday,Emma White,575,Robert Garcia
Room 2,3,20,CS,Monday,Robert Garcia,601,Robert Garcia
Room 2,3,20,CS,Monday,Emma White,602,Robert Garcia
Room 2,3,20,CS,Monday,Robert Garcia,633,Robert Garcia
Room 2,3,20,CS,Monday,Emma White,634,Robert Garcia
Room 2,3,20,CS,Monday,Robert Garcia,665,Robert Garcia
Room 2,3,20,CS,Monday,Emma White,666,Robert Garcia
Room 2,3,20,CS,Monday,Robert Garcia,697,Robert Garcia
Room 2,3,20,CS,Monday,Emma White,698,Robert Garcia
Room 2,3,20,CS,Monday,Robert Garcia,724,Robert Garcia
Room 2,3,20,CS,Monday,Emma White,725,Robert Garcia
Room 2,3,20,CS,Monday,Robert Garcia,756,Robert Garcia
Room 2,3,20,CS,Monday,Emma White,757,Robert Garcia
Room 2,3,20,CS,Monday,Robert Garcia,788,Robert Garcia
Room 2,3,20,CS,Monday,Emma White,789,Robert Garcia
Room 2,3,20,CS,Monday,Robert Garcia,820,Robert Garcia
Room 2,3,20,CS,Monday,Emma White,821,Robert Garcia
Room 2,3,20,CS,Monday,Robert Garcia,847,Robert Garcia
Room 2,3,20,CS,Monday,Emma White,848,Robert Garcia
Room 2,3,20,CS,Monday,Robert Garcia,879,Robert Garcia
Room 2,3,20,CS,Monday,Emma White,880,Robert Garcia
Room 2,3,20,CS,Monday,Robert Garcia,911,Robert Garcia
Room 2,3,20,CS,Monday,Emma White,912,Robert Garcia
Room 2,3,20,CS,Monday,Robert Garcia,943,Robert Garcia
Room 2,3,20,CS,Monday,Emma White,944,Robert Garcia
Room 2,3,20,CS,Monday,Robert Garcia,970,Robert Garcia
Room 2,3,20,CS,Monday,Emma White,971,Robert Garcia
Room 2,3,20,CS,Monday,Robert Garcia,1002,Robert Garcia
Room 2,3,20,CS,Monday,Emma White,1003,Robert Garcia
Room 3,3,20,CS,Monday,Robert Garcia,1034,Abigail Young
Room 3,3,20,CS,Monday,Emma White,1035,Abigail Young
Room 3,3,20,CS,Monday,Robert Garcia,1066,Abigail Young
Room 3,3,20,CS,Monday,Emma White,1067,Abigail Young
Room 3,3,20,CS,Monday,Robert Garcia,1093,Abigail Young
Room 3,3,20,CS,Monday,Emma White,1094,Abigail Young
Room 3,3,20,CS,Monday,Robert Garcia,1125,Abigail Young
Room 3,3,20,CS,Monday,Emma White,1126,Abigail Young
Room 3,3,20,CS,Monday,Robert Garcia,1157,Abigail Young
Room 3,3,20,CS,Monday,Emma White,1158,Abigail Young
Room 3,3,20,CS,Monday,Robert Garcia,1189,Abigail Young
Room 3,3,20,CS,Monday,Emma White,1190,Abigail Young
Room 3,3,20,CS,Monday,Robert Garcia,1216,Abigail Young
Room 3,3,20,CS,Monday,Emma White,1217,Abigail Young
Room 3,3,20,CS,Monday,Robert Garcia,1248,Abigail Young
Room 3,3,20,CS,Monday,Emma White,1249,Abigail Young
Room 3,3,20,CS,Monday,Robert Garcia,1280,Abigail Young
Room 3,3,20,CS,Monday,Emma White,1281,Abigail Young
Room 3,3,20,CS,Monday,Robert Garcia,1312,Abigail Young
Room 3,3,20,CS,Monday,Emma White,1313,Abigail Young
Room 3,3,20,CS,Monday,Robert Garcia,1339,Abigail Young
Room 3,3,20,CS,Monday,Emma White,1340,Abigail Young
Room 3,3,20,CS,Monday,Robert Garcia,1371,Abigail Young
Room 3,3,20,CS,Monday,Emma White,1372,Abigail Young
Room 3,3,20,CS,Monday,Robert Garcia,1403,Abigail Young
Room 3,3,20,CS,Monday,Emma White,1404,Abigail Young
Room 3,3,20,CS,Monday,Robert Garcia,1435,Abigail Young
Room 3,3,20,CS,Monday,Emma White,1436,Abigail Young
Room 3,3,20,CS,Monday,Robert Garcia,1462,Abigail Young
Room 3,3,20,CS,Monday,Emma White,1463,Abigail Young
Room 4,3,20,CS,Monday,Robert Garcia,1494,Emily Davis
Room 4,3,20,CS,Monday,Emma White,1495,Emily Davis
Room 4,3,20,CS,Monday,Robert Garcia,1526,Emily Davis
Room 4,3,20,CS,Monday,Emma White,1527,Emily Davis
Room 4,3,20,CS,Monday,Robert Garcia,1558,Emily Davis
Room 4,3,20,CS,Monday,Emma White,1559,Emily Davis
Room 4,3,20,CS,Monday,Robert Garcia,1585,Emily Davis
Room 4,3,20,CS,Monday,Emma White,1586,Emily Davis
Room 4,3,20,CS,Monday,Robert Garcia,1617,Emily Davis
Room 4,3,20,CS,Monday,Emma White,1618,Emily Davis
Room 4,3,20,CS,Monday,Robert Garcia,1649,Emily Davis
Room 4,3,20,CS,Monday,Emma White,1650,Emily Davis
Room 4,3,20,CS,Monday,Robert Garcia,1681,Emily Davis
Room 4,3,20,CS,Monday,Emma White,1682,Emily Davis
Room 4,3,20,CS,Monday,Robert Garcia,1708,Emily Davis
Room 4,3,20,CS,Monday,Emma White,1709,Emily Davis
Room 4,3,20,CS,Monday,Robert Garcia,1740,Emily Davis
Room 4,3,20,CS,Monday,Emma White,1741,Emily Davis
Room 4,3,20,CS,Monday,Robert Garcia,1772,Emily Davis
Room 4,3,20,CS,Monday,Emma White,1773,Emily Davis
Room 4,3,20,CS,Monday,Robert Garcia,1804,Emily Davis
Room 4,3,20,CS,Monday,Emma White,1805,Emily Davis
Room 4,3,20,CS,Monday,Robert Garcia,1831,Emily Davis
Room 4,3,20,CS,Monday,Emma White,1832,Emily Davis
Room 4,3,20,CS,Monday,Robert Garcia,1863,Emily Davis
Room 4,3,20,CS,Monday,Emma White,1864,Emily Davis
Room 4,3,20,CS,Monday,Robert Garcia,1895,Emily Davis
Room 4,3,20,CS,Monday,Emma White,1896,Emily Davis
Room 4,3,20,CS,Monday,Robert Garcia,1927,Emily Davis
Room 4,3,20,CS,Monday,Emma White,1928,Emily Davis
Room 5,3,20,CS,Monday,Robert Garcia,1954,David Harris
Room 5,3,20,CS,Monday,Emma White,1955,David Harris
Room 5,3,20,CS,Monday,Robert Garcia,1986,David Harris
Room 5,3,20,CS,Monday,Emma White,1987,David Harris
Room 5,3,20,CS,Monday,Robert Garcia,2018,David Harris
Room 5,3,20,CS,Monday,Emma White,2019,David Harris
Room 5,3,20,CS,Monday,Robert Garcia,2050,David Harris
Room 5,3,20,CS,Monday,Emma White,2051,David Harris
Room 5,3,20,CS,Monday,Robert Garcia,2077,David Harris
Room 5,3,20,CS,Monday,Emma White,2078,David Harris
Room 5,3,20,CS,Monday,Robert Garcia,2109,David Harris
Room 5,3,20,CS,Monday,Emma White,2110,David Harris
Room 5,3,20,CS,Monday,Robert Garcia,2141,David Harris
Room 5,3,20,CS,Monday,Emma White,2142,David Harris
Room 5,3,20,CS,Monday,Robert Garcia,2173,David Harris
Room 5,3,20,CS,Monday,Emma White,2174,David Harris
Room 5,3,20,CS,Monday,Robert Garcia,2200,David Harris
Room 5,3,20,CS,Monday,Emma White,2201,David Harris
Room 5,3,20,CS,Monday,Robert Garcia,2232,David Harris
Room 5,3,20,CS,Monday,Emma White,2233,David Harris
Room 5,3,20,CS,Monday,Robert Garcia,2264,David Harris
Room 5,3,20,CS,Monday,Emma White,2265,David Harris
Room 5,3,20,CS,Monday,Robert Garcia,2296,David Harris
Room 5,3,20,CS,Monday,Emma White,2297,David Harris
Room 5,3,20,CS,Monday,Robert Garcia,2323,David Harris
Room 5,3,20,CS,Monday,Emma White,2324,David Harris
Room 5,3,20,CS,Monday,Robert Garcia,2355,David Harris
Room 5,3,20,CS,Monday,Emma White,2356,David Harris
Room 5,3,20,CS,Monday,Robert Garcia,2387,David Harris
Room 5,3,20,CS,Monday,Emma White,2388,David Harris
Room 6,3,20,CS,Monday,Robert Garcia,2419,Alice Johnson
Room 6,3,20,CS,Monday,Emma White,2420,Alice Johnson
Room 6,3,20,CS,Monday,Robert Garcia,2446,Alice Johnson
Room 6,3,20,CS,Monday,Emma White,2447,Alice Johnson
Room 6,3,20,CS,Monday,Robert Garcia,2478,Alice Johnson
Room 6,3,20,CS,Monday,Emma White,2479,Alice Johnson
Room 6,3,20,CS,Monday,Robert Garcia,2510,Alice Johnson
Room 6,3,20,CS,Monday,Emma White,2511,Alice Johnson
Room 6,3,20,CS,Monday,Robert Garcia,2542,Alice Johnson
Room 6,3,20,CS,Monday,Emma White,2543,Alice Johnson
Room 6,3,20,CS,Monday,Robert Garcia,2569,Alice Johnson
Room 6,3,20,CS,Monday,Emma White,2570,Alice Johnson
Room 6,3,20,CS,Monday,Robert Garcia,2601,Alice Johnson
Room 6,3,20,CS,Monday,Emma White,2602,Alice Johnson
Room 6,3,20,CS,Monday,Robert Garcia,2633,Alice Johnson
Room 6,3,20,CS,Monday,Emma White,2634,Alice Johnson
Room 6,3,20,CS,Monday,Robert Garcia,2665,Alice Johnson
Room 6,3,20,CS,Monday,Emma White,2666,Alice Johnson
Room 6,3,20,CS,Monday,Robert Garcia,2692,Alice Johnson
Room 6,3,20,CS,Monday,Emma White,2693,Alice Johnson
Room 6,3,20,CS,Monday,Robert Garcia,2724,Alice Johnson
Room 6,3,20,CS,Monday,Emma White,2725,Alice Johnson
Room 6,3,20,CS,Monday,Robert Garcia,2756,Alice Johnson
Room 6,3,20,CS,Monday,Emma White,2757,Alice Johnson
Room 6,3,20,CS,Monday,Robert Garcia,2788,Alice Johnson
Room 6,3,20,CS,Monday,Emma White,2789,Alice Johnson
Room 1,1,21,CS,Monday,Joseph Carter,117,Emily Davis
Room 1,1,21,CS,Monday,Abigail Young,118,Emily Davis
Room 1,1,21,CS,Monday,Joseph Carter,149,Emily Davis
Room 1,1,21,CS,Monday,Abigail Young,150,Emily Davis
Room 1,1,21,CS,Monday,Joseph Carter,181,Emily Davis
Room 1,1,21,CS,Monday,Abigail Young,182,Emily Davis
Room 1,1,21,CS,Monday,Joseph Carter,213,Emily Davis
Room 1,1,21,CS,Monday,Abigail Young,214,Emily Davis
Room 1,1,21,CS,Monday,Joseph Carter,240,Emily Davis
Room 1,1,21,CS,Monday,Abigail Young,241,Emily Davis
Room 1,1,21,CS,Monday,Joseph Carter,272,Emily Davis
Room 1,1,21,CS,Monday,Abigail Young,273,Emily Davis
Room 1,1,21,CS,Monday,Joseph Carter,304,Emily Davis
Room 1,1,21,CS,Monday,Abigail Young,305,Emily Davis
Room 1,1,21,CS,Monday,Joseph Carter,336,Emily Davis
Room 1,1,21,CS,Monday,Abigail Young,337,Emily Davis
Room 1,1,21,CS,Monday,Joseph Carter,363,Emily Davis
Room 1,1,21,CS,Monday,Abigail Young,364,Emily Davis
Room 1,1,21,CS,Monday,Joseph Carter,395,Emily Davis
Room 1,1,21,CS,Monday,Abigail Young,396,Emily Davis
Room 1,1,21,CS,Monday,Joseph Carter,427,Emily Davis
Room 1,1,21,CS,Monday,Abigail Young,428,Emily Davis
Room 1,1,21,CS,Monday,Joseph Carter,459,Emily Davis
Room 1,1,21,CS,Monday,Abigail Young,460,Emily Davis
Room 1,1,21,CS,Monday,Joseph Carter,486,Emily Davis
Room 1,1,21,CS,Monday,Abigail Young,487,Emily Davis
Room 1,1,21,CS,Monday,Joseph Carter,518,Emily Davis
Room 1,1,21,CS,Monday,Abigail Young,519,Emily Davis
Room 1,1,21,CS,Monday,Joseph Carter,550,Emily Davis
Room 1,1,21,CS,Monday,Abigail Young,551,Emily Davis
Room 2,1,21,CS,Monday,Joseph Carter,582,Emily Davis
Room 2,1,21,CS,Monday,Abigail Young,583,Emily Davis
Room 2,1,21,CS,Monday,Joseph Carter,609,Emily Davis
Room 2,1,21,CS,Monday,Abigail Young,610,Emily Davis
Room 2,1,21,CS,Monday,Joseph Carter,641,Emily Davis
Room 2,1,21,CS,Monday,Abigail Young,642,Emily Davis
Room 2,1,21,CS,Monday,Joseph Carter,673,Emily Davis
Room 2,1,21,CS,Monday,Abigail Young,674,Emily Davis
Room 2,1,21,CS,Monday,Joseph Carter,705,Emily Davis
Room 2,1,21,CS,Monday,Abigail Young,706,Emily Davis
Room 2,1,21,CS,Monday,Joseph Carter,732,Emily Davis
Room 2,1,21,CS,Monday,Abigail Young,733,Emily Davis
Room 2,1,21,CS,Monday,Joseph Carter,764,Emily Davis
Room 2,1,21,CS,Monday,Abigail Young,765,Emily Davis
Room 2,1,21,CS,Monday,Joseph Carter,796,Emily Davis
Room 2,1,21,CS,Monday,Abigail Young,797,Emily Davis
Room 2,1,21,CS,Monday,Joseph Carter,828,Emily Davis
Room 2,1,21,CS,Monday,Abigail Young,829,Emily Davis
Room 2,1,21,CS,Monday,Joseph Carter,855,Emily Davis
Room 2,1,21,CS,Monday,Abigail Young,856,Emily Davis
Room 2,1,21,CS,Monday,Joseph Carter,887,Emily Davis
Room 2,1,21,CS,Monday,Abigail Young,888,Emily Davis
Room 2,1,21,CS,Monday,Joseph Carter,919,Emily Davis
Room 2,1,21,CS,Monday,Abigail Young,920,Emily Davis
Room 2,1,21,CS,Monday,Joseph Carter,951,Emily Davis
Room 2,1,21,CS,Monday,Abigail Young,952,Emily Davis
Room 2,1,21,CS,Monday,Joseph Carter,978,Emily Davis
Room 2,1,21,CS,Monday,Abigail Young,979,Emily Davis
Room 2,1,21,CS,Monday,Joseph Carter,1010,Emily Davis
Room 2,1,21,CS,Monday,Abigail Young,1011,Emily Davis
Room 3,1,21,CS,Monday,Joseph Carter,1042,Robert Garcia
Room 3,1,21,CS,Monday,Abigail Young,1043,Robert Garcia
Room 3,1,21,CS,Monday,Joseph Carter,1074,Robert Garcia
Room 3,1,21,CS,Monday,Abigail Young,1075,Robert Garcia
Room 3,1,21,CS,Monday,Joseph Carter,1101,Robert Garcia
Room 3,1,21,CS,Monday,Abigail Young,1102,Robert Garcia
Room 3,1,21,CS,Monday,Joseph Carter,1133,Robert Garcia
Room 3,1,21,CS,Monday,Abigail Young,1134,Robert Garcia
Room 3,1,21,CS,Monday,Joseph Carter,1165,Robert Garcia
Room 3,1,21,CS,Monday,Abigail Young,1166,Robert Garcia
Room 3,1,21,CS,Monday,Joseph Carter,1197,Robert Garcia
Room 3,1,21,CS,Monday,Abigail Young,1198,Robert Garcia
Room 3,1,21,CS,Monday,Joseph Carter,1224,Robert Garcia
Room 3,1,21,CS,Monday,Abigail Young,1225,Robert Garcia
Room 3,1,21,CS,Monday,Joseph Carter,1256,Robert Garcia
Room 3,1,21,CS,Monday,Abigail Young,1257,Robert Garcia
Room 3,1,21,CS,Monday,Joseph Carter,1288,Robert Garcia
Room 3,1,21,CS,Monday,Abigail Young,1289,Robert Garcia
Room 3,1,21,CS,Monday,Joseph Carter,1320,Robert Garcia
